"lag","StepPred","lstm1_units","MSE1","MSE2"
12,20,6,2.20917664062816,142.295267928564
12,20,12,1.77884625193457,337.731795333892
12,20,24,2.5037714703308,345.624906940392
12,20,48,1.55905799640929,164.903515050795
12,20,96,0.717544131113063,41.1990389840435
24,20,6,0.245620754388195,30.3543932414504
24,20,12,0.0391898115712381,6.94876012931191
24,20,24,0.00325557028423878,30.3800595159294
24,20,48,0.0248995762150481,10.7429379379031
24,20,96,0.0980750091584018,0.602236987924197
36,20,6,0.166608660786622,1.1881228522381
36,20,12,0.215346014494925,57.2019214383817
36,20,24,0.0107786754433606,2.11234371832051
36,20,48,0.00384475768644651,6.05264947431374
36,20,96,0.108738144874172,5.11982996084738
48,20,6,0.990952132476436,15.2366555825192
48,20,12,0.0476171532081769,0.390048002642138
48,20,24,0.0598656652603038,0.516446635689454
48,20,48,0.0322197009242925,3.22494524851858
48,20,96,0.0221579688405831,1.29898093097928
60,20,6,0.168892628909407,7.00642410045601
60,20,12,0.00176901025408953,0.416402344209823
60,20,24,0.0178034702266542,3.18690035179616
60,20,48,0.00571823006361825,3.59494647401535
60,20,96,0.012881559375281,0.0163595851761729
60,20,192,0.222760036632307,8.08257039925585
60,20,384,0.165834656943926,0.361627779048655
72,20,96,0.0867987372168824,2.56885394389117
72,20,192,0.00571881384827016,0.558094128022389
72,20,384,0.0562257796002706,0.212063122921849
84,20,96,1.31163507957596,9.61534831633699
84,20,192,0.0802010182562029,1.21906362924332
