"lag","StepPred","lstm1_units","MSE1","MSE2"
24,20,12,4.25721767494007,24.1316210131436
24,20,24,2.88100598476223,23.3307344601464
24,20,48,3.53447720929817,24.7954104918321
24,20,96,3.30932077556098,24.1404523343492
38,20,12,1.05662416507795,36.1391996561891
